Site,variable,CV,DensBiom,LengthArea,CommunitySt,MultipassFirstPass,Park
DeerShanty,StFPDensArea,0.420584634,Density,Area,Brook trout,Firstpass,Catskill
Durgin,StFPDensArea,0.3734452,Density,Area,Brook trout,Firstpass,ADK
Fly,StFPDensArea,0.328116044,Density,Area,Brook trout,Firstpass,ADK
Moss,StFPDensArea,0.264630016,Density,Area,Brook trout,Firstpass,ADK
NewHill,StFPDensArea,0.227504361,Density,Area,Brook trout,Firstpass,Catskill
Oasis,StFPDensArea,0.311939928,Density,Area,Brook trout,Firstpass,Catskill
Seventh,StFPDensArea,0.527182423,Density,Area,Brook trout,Firstpass,ADK
Slide,StFPDensArea,0.750971543,Density,Area,Brook trout,Firstpass,Catskill
Tisons,StFPDensArea,0.444634878,Density,Area,Brook trout,Firstpass,Catskill
Winnisook,StFPDensArea,0.636737159,Density,Area,Brook trout,Firstpass,Catskill
21013,StFPBiomArea,0.48388251,Biomass,Area,Brook trout,Firstpass,ADK
Biscuit,StFPBiomArea,0.465462212,Biomass,Area,Brook trout,Firstpass,Catskill
Buck,StFPBiomArea,0.725946765,Biomass,Area,Brook trout,Firstpass,ADK
DeerShanty,StFPBiomArea,0.33876521,Biomass,Area,Brook trout,Firstpass,Catskill
Durgin,StFPBiomArea,0.259810985,Biomass,Area,Brook trout,Firstpass,ADK
Fly,StFPBiomArea,0.522331236,Biomass,Area,Brook trout,Firstpass,ADK
Moss,StFPBiomArea,0.148372579,Biomass,Area,Brook trout,Firstpass,ADK
NewHill,StFPBiomArea,0.225585257,Biomass,Area,Brook trout,Firstpass,Catskill
Oasis,StFPBiomArea,0.293769096,Biomass,Area,Brook trout,Firstpass,Catskill
Seventh,StFPBiomArea,0.172033962,Biomass,Area,Brook trout,Firstpass,ADK
Slide,StFPBiomArea,0.832055758,Biomass,Area,Brook trout,Firstpass,Catskill
Tisons,StFPBiomArea,0.315855232,Biomass,Area,Brook trout,Firstpass,Catskill
Winnisook,StFPBiomArea,0.719833289,Biomass,Area,Brook trout,Firstpass,Catskill
21013,CDensLength,0.128638859,Density,Length,Community,Multipass,ADK
Biscuit,CDensLength,0.258925299,Density,Length,Community,Multipass,Catskill
Buck,CDensLength,0.63075807,Density,Length,Community,Multipass,ADK
DeerShanty,CDensLength,0.410224883,Density,Length,Community,Multipass,Catskill
Durgin,CDensLength,0.159908382,Density,Length,Community,Multipass,ADK
Fly,CDensLength,0.09382668,Density,Length,Community,Multipass,ADK
Moss,CDensLength,0.410647128,Density,Length,Community,Multipass,ADK
NewHill,CDensLength,0.183029915,Density,Length,Community,Multipass,Catskill
Oasis,CDensLength,0.160789746,Density,Length,Community,Multipass,Catskill
Seventh,CDensLength,0.358321084,Density,Length,Community,Multipass,ADK
Slide,CDensLength,0.315282693,Density,Length,Community,Multipass,Catskill
Tisons,CDensLength,0.641355187,Density,Length,Community,Multipass,Catskill
Winnisook,CDensLength,0.668791683,Density,Length,Community,Multipass,Catskill
21013,CBiomLength,0.071979759,Biomass,Length,Community,Multipass,ADK
Biscuit,CBiomLength,0.19136292,Biomass,Length,Community,Multipass,Catskill
Buck,CBiomLength,0.50579969,Biomass,Length,Community,Multipass,ADK
DeerShanty,CBiomLength,0.19054614,Biomass,Length,Community,Multipass,Catskill
Durgin,CBiomLength,0.122393218,Biomass,Length,Community,Multipass,ADK
Fly,CBiomLength,0.198994805,Biomass,Length,Community,Multipass,ADK
Moss,CBiomLength,0.041583772,Biomass,Length,Community,Multipass,ADK
NewHill,CBiomLength,0.286322985,Biomass,Length,Community,Multipass,Catskill
Oasis,CBiomLength,0.144054011,Biomass,Length,Community,Multipass,Catskill
Seventh,CBiomLength,0.268158742,Biomass,Length,Community,Multipass,ADK
Slide,CBiomLength,0.284982274,Biomass,Length,Community,Multipass,Catskill
Tisons,CBiomLength,0.511739496,Biomass,Length,Community,Multipass,Catskill
Winnisook,CBiomLength,0.722313586,Biomass,Length,Community,Multipass,Catskill
21013,StDensLength,0.176889976,Density,Length,Brook trout,Multipass,ADK
Biscuit,StDensLength,0.312845384,Density,Length,Brook trout,Multipass,Catskill
Buck,StDensLength,0.576158204,Density,Length,Brook trout,Multipass,ADK
DeerShanty,StDensLength,0.411488444,Density,Length,Brook trout,Multipass,Catskill
Durgin,StDensLength,0.322514013,Density,Length,Brook trout,Multipass,ADK
Fly,StDensLength,0.337924237,Density,Length,Brook trout,Multipass,ADK
Moss,StDensLength,0.222335078,Density,Length,Brook trout,Multipass,ADK
NewHill,StDensLength,0.243076715,Density,Length,Brook trout,Multipass,Catskill
Oasis,StDensLength,0.232952189,Density,Length,Brook trout,Multipass,Catskill
Seventh,StDensLength,0.321228945,Density,Length,Brook trout,Multipass,ADK
Slide,StDensLength,0.384355393,Density,Length,Brook trout,Multipass,Catskill
Tisons,StDensLength,0.540781822,Density,Length,Brook trout,Multipass,Catskill
Winnisook,StDensLength,0.668791683,Density,Length,Brook trout,Multipass,Catskill
21013,StBiomLength,0.265523611,Biomass,Length,Brook trout,Multipass,ADK
Biscuit,StBiomLength,0.215617444,Biomass,Length,Brook trout,Multipass,Catskill
Buck,StBiomLength,0.49740958,Biomass,Length,Brook trout,Multipass,ADK
DeerShanty,StBiomLength,0.137368995,Biomass,Length,Brook trout,Multipass,Catskill
Durgin,StBiomLength,0.54944451,Biomass,Length,Brook trout,Multipass,ADK
Fly,StBiomLength,0.392362951,Biomass,Length,Brook trout,Multipass,ADK
Moss,StBiomLength,0.155529963,Biomass,Length,Brook trout,Multipass,ADK
NewHill,StBiomLength,0.142488601,Biomass,Length,Brook trout,Multipass,Catskill
Oasis,StBiomLength,0.073643674,Biomass,Length,Brook trout,Multipass,Catskill
Seventh,StBiomLength,0.433857245,Biomass,Length,Brook trout,Multipass,ADK
Slide,StBiomLength,0.347168352,Biomass,Length,Brook trout,Multipass,Catskill
Tisons,StBiomLength,0.474554632,Biomass,Length,Brook trout,Multipass,Catskill
Winnisook,StBiomLength,0.722313586,Biomass,Length,Brook trout,Multipass,Catskill
21013,CFPDensLength,0.142618622,Density,Length,Community,Firstpass,ADK
Biscuit,CFPDensLength,0.271778509,Density,Length,Community,Firstpass,Catskill
Buck,CFPDensLength,0.551734462,Density,Length,Community,Firstpass,ADK
DeerShanty,CFPDensLength,0.404242428,Density,Length,Community,Firstpass,Catskill
Durgin,CFPDensLength,0.108018126,Density,Length,Community,Firstpass,ADK
Fly,CFPDensLength,0.094329798,Density,Length,Community,Firstpass,ADK
Moss,CFPDensLength,0.32885679,Density,Length,Community,Firstpass,ADK
NewHill,CFPDensLength,0.400146802,Density,Length,Community,Firstpass,Catskill
Oasis,CFPDensLength,0.227920246,Density,Length,Community,Firstpass,Catskill
Seventh,CFPDensLength,0.434438648,Density,Length,Community,Firstpass,ADK
Slide,CFPDensLength,0.396081947,Density,Length,Community,Firstpass,Catskill
Tisons,CFPDensLength,0.589610939,Density,Length,Community,Firstpass,Catskill
Winnisook,CFPDensLength,0.528066426,Density,Length,Community,Firstpass,Catskill
21013,CFPBiomLength,0.372535881,Biomass,Length,Community,Firstpass,ADK
Biscuit,CFPBiomLength,0.246405563,Biomass,Length,Community,Firstpass,Catskill
Buck,CFPBiomLength,0.608196248,Biomass,Length,Community,Firstpass,ADK
DeerShanty,CFPBiomLength,0.361285672,Biomass,Length,Community,Firstpass,Catskill
Durgin,CFPBiomLength,0.1406326,Biomass,Length,Community,Firstpass,ADK
Fly,CFPBiomLength,0.15329662,Biomass,Length,Community,Firstpass,ADK
Moss,CFPBiomLength,0.17627466,Biomass,Length,Community,Firstpass,ADK
NewHill,CFPBiomLength,0.116325056,Biomass,Length,Community,Firstpass,Catskill
Oasis,CFPBiomLength,0.239308832,Biomass,Length,Community,Firstpass,Catskill
Seventh,CFPBiomLength,0.170384202,Biomass,Length,Community,Firstpass,ADK
Slide,CFPBiomLength,0.497059033,Biomass,Length,Community,Firstpass,Catskill
Tisons,CFPBiomLength,0.384119821,Biomass,Length,Community,Firstpass,Catskill
Winnisook,CFPBiomLength,0.606706539,Biomass,Length,Community,Firstpass,Catskill
21013,StFPDensLength,0.126033801,Density,Length,Brook trout,Firstpass,ADK
Biscuit,StFPDensLength,0.31588582,Density,Length,Brook trout,Firstpass,Catskill
Buck,StFPDensLength,0.575536907,Density,Length,Brook trout,Firstpass,ADK
DeerShanty,StFPDensLength,0.380230102,Density,Length,Brook trout,Firstpass,Catskill
Durgin,StFPDensLength,0.283289526,Density,Length,Brook trout,Firstpass,ADK
Fly,StFPDensLength,0.289666386,Density,Length,Brook trout,Firstpass,ADK
Moss,StFPDensLength,0.265244407,Density,Length,Brook trout,Firstpass,ADK
NewHill,StFPDensLength,0.25470517,Density,Length,Brook trout,Firstpass,Catskill
Oasis,StFPDensLength,0.299085562,Density,Length,Brook trout,Firstpass,Catskill
Seventh,StFPDensLength,0.418326008,Density,Length,Brook trout,Firstpass,ADK
Slide,StFPDensLength,0.467479227,Density,Length,Brook trout,Firstpass,Catskill
Tisons,StFPDensLength,0.453943053,Density,Length,Brook trout,Firstpass,Catskill
Winnisook,StFPDensLength,0.528228775,Density,Length,Brook trout,Firstpass,Catskill
21013,StFPBiomLength,0.488322222,Biomass,Length,Brook trout,Firstpass,ADK
Biscuit,StFPBiomLength,0.405048941,Biomass,Length,Brook trout,Firstpass,Catskill
Buck,StFPBiomLength,0.615785584,Biomass,Length,Brook trout,Firstpass,ADK
DeerShanty,StFPBiomLength,0.251504347,Biomass,Length,Brook trout,Firstpass,Catskill
Durgin,StFPBiomLength,0.156455911,Biomass,Length,Brook trout,Firstpass,ADK
Fly,StFPBiomLength,0.474755776,Biomass,Length,Brook trout,Firstpass,ADK
Moss,StFPBiomLength,0.227339201,Biomass,Length,Brook trout,Firstpass,ADK
NewHill,StFPBiomLength,0.226728843,Biomass,Length,Brook trout,Firstpass,Catskill
Oasis,StFPBiomLength,0.289585601,Biomass,Length,Brook trout,Firstpass,Catskill
Seventh,StFPBiomLength,0.227612138,Biomass,Length,Brook trout,Firstpass,ADK
Slide,StFPBiomLength,0.519515852,Biomass,Length,Brook trout,Firstpass,Catskill
Tisons,StFPBiomLength,0.324699221,Biomass,Length,Brook trout,Firstpass,Catskill
Winnisook,StFPBiomLength,0.606706245,Biomass,Length,Brook trout,Firstpass,Catskill
21013,CDensCPUE,0.056945695,Density,CPUE,Community,Firstpass,ADK
Biscuit,CDensCPUE,0.131103041,Density,CPUE,Community,Firstpass,Catskill
Buck,CDensCPUE,0.353928751,Density,CPUE,Community,Firstpass,ADK
DeerShanty,CDensCPUE,0.311456095,Density,CPUE,Community,Firstpass,Catskill
Durgin,CDensCPUE,0.188961814,Density,CPUE,Community,Firstpass,ADK
Fly,CDensCPUE,0.137182044,Density,CPUE,Community,Firstpass,ADK
Moss,CDensCPUE,0.360758623,Density,CPUE,Community,Firstpass,ADK
NewHill,CDensCPUE,0.380605103,Density,CPUE,Community,Firstpass,Catskill
Oasis,CDensCPUE,0.115482192,Density,CPUE,Community,Firstpass,Catskill
Seventh,CDensCPUE,0.333004252,Density,CPUE,Community,Firstpass,ADK
Slide,CDensCPUE,0.303747019,Density,CPUE,Community,Firstpass,Catskill
Tisons,CDensCPUE,0.367807916,Density,CPUE,Community,Firstpass,Catskill
Winnisook,CDensCPUE,0.638421559,Density,CPUE,Community,Firstpass,Catskill
21013,CBiomCPUE,0.320705239,Biomass,CPUE,Community,Firstpass,ADK
Biscuit,CBiomCPUE,0.315204104,Biomass,CPUE,Community,Firstpass,Catskill
Buck,CBiomCPUE,0.42362937,Biomass,CPUE,Community,Firstpass,ADK
DeerShanty,CBiomCPUE,0.344691996,Biomass,CPUE,Community,Firstpass,Catskill
Durgin,CBiomCPUE,0.215327289,Biomass,CPUE,Community,Firstpass,ADK
Fly,CBiomCPUE,0.150913461,Biomass,CPUE,Community,Firstpass,ADK
Moss,CBiomCPUE,0.098834516,Biomass,CPUE,Community,Firstpass,ADK
NewHill,CBiomCPUE,0.178889121,Biomass,CPUE,Community,Firstpass,Catskill
Oasis,CBiomCPUE,0.093820439,Biomass,CPUE,Community,Firstpass,Catskill
Seventh,CBiomCPUE,0.307944329,Biomass,CPUE,Community,Firstpass,ADK
Slide,CBiomCPUE,0.572883373,Biomass,CPUE,Community,Firstpass,Catskill
Tisons,CBiomCPUE,0.258168017,Biomass,CPUE,Community,Firstpass,Catskill
Winnisook,CBiomCPUE,0.726245642,Biomass,CPUE,Community,Firstpass,Catskill
21013,STDensCPUE,0.20215761,Density,CPUE,Brook trout,Firstpass,ADK
Biscuit,STDensCPUE,0.485455734,Density,CPUE,Brook trout,Firstpass,Catskill
Buck,STDensCPUE,0.371497077,Density,CPUE,Brook trout,Firstpass,ADK
